aluno_id,corte,probabilidade,faixa,situacao,fase_atual,recencia_dias,eventos_7d,eventos_14d,eventos_28d,dias_ativos_7d,dias_ativos_28d,tendencia,capitulo_max_fase_atual,pct_capitulos_fase_atual,progresso_28d,capitulos_distintos_28d,quiz_iniciados_28d,quiz_entregues_28d,entregas_28d,semanas_ativas_ultimas_8,share_noite_28d,share_fim_semana_28d,eventos_acumulados,dias_ativos_acumulados,semanas_desde_primeiro_evento,primeiro_evento,ultimo_evento,fator_1,fator_2,fator_3,fatores,acao_sugerida
Aluno 0048,2026-08-23,0.9051,Alto,Inativo >60d,1,74,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,10,2026-06-10,2026-06-10,74 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,ativo em apenas 0 das últimas 8 semanas,74 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | ativo em apenas 0 das últimas 8 semanas,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0133,2026-08-23,0.9,Alto,Inativo 29–60d,4,56,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,17,2026-04-26,2026-06-28,56 dias sem acesso,nenhum acesso nos últimos 28 dias,parado no capítulo 2 de 11 da Fase 4,56 dias sem acesso | nenhum acesso nos últimos 28 dias | parado no capítulo 2 de 11 da Fase 4,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 2 de 11 da Fase 4)
Aluno 0010,2026-08-23,0.8932,Alto,Ativo (28d),3,18,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4,2,4,2026-07-23,2026-08-05,18 dias sem acesso,nenhum acesso nas últimas 2 semanas,parado no capítulo 0 de 10 da Fase 3,18 dias sem acesso | nenhum acesso nas últimas 2 semanas | parado no capítulo 0 de 10 da Fase 3,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 0 de 10 da Fase 3)
Aluno 0234,2026-08-23,0.8854,Alto,Ativo (28d),5,9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,2026-08-14,2026-08-14,9 dias sem acesso,parado no capítulo 0 de 8 da Fase 5,nenhum capítulo acessado na Fase 5,9 dias sem acesso | parado no capítulo 0 de 8 da Fase 5 | nenhum capítulo acessado na Fase 5,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 0 de 8 da Fase 5)
Aluno 0235,2026-08-23,0.8854,Alto,Ativo (28d),5,9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,2026-08-14,2026-08-14,9 dias sem acesso,parado no capítulo 0 de 8 da Fase 5,nenhum capítulo acessado na Fase 5,9 dias sem acesso | parado no capítulo 0 de 8 da Fase 5 | nenhum capítulo acessado na Fase 5,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 0 de 8 da Fase 5)
Aluno 0160,2026-08-23,0.8813,Alto,Inativo 29–60d,4,58,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,8,23,2026-03-09,2026-06-26,58 dias sem acesso,nenhum acesso nos últimos 28 dias,ativo em apenas 0 das últimas 8 semanas,58 dias sem acesso | nenhum acesso nos últimos 28 dias | ativo em apenas 0 das últimas 8 semanas,Contato ativo do tutor em 48h (telefone/WhatsApp) com plano de retomada de 2 semanas
Aluno 0212,2026-08-23,0.8738,Alto,Ativo (28d),2,26,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.083,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,3,2026-07-28,2026-07-28,26 dias sem acesso,nenhum acesso nas últimas 2 semanas,parado no capítulo 1 de 12 da Fase 2,26 dias sem acesso | nenhum acesso nas últimas 2 semanas | parado no capítulo 1 de 12 da Fase 2,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 1 de 12 da Fase 2)
Aluno 0232,2026-08-23,0.8543,Alto,Ativo (28d),5,6,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,2026-08-17,2026-08-17,parado no capítulo 0 de 8 da Fase 5,nenhum capítulo acessado na Fase 5,apenas 1 dia(s) ativo(s) no último mês,parado no capítulo 0 de 8 da Fase 5 | nenhum capítulo acessado na Fase 5 | apenas 1 dia(s) ativo(s) no último mês,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 0 de 8 da Fase 5)
Aluno 0140,2026-08-23,0.8494,Alto,Inativo 29–60d,4,57,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,16,25,2026-02-23,2026-06-27,57 dias sem acesso,nenhum acesso nos últimos 28 dias,parado no capítulo 4 de 11 da Fase 4,57 dias sem acesso | nenhum acesso nos últimos 28 dias | parado no capítulo 4 de 11 da Fase 4,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 4 de 11 da Fase 4)
Aluno 0074,2026-08-23,0.8101,Alto,Inativo 29–60d,4,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91,17,27,2026-02-09,2026-06-29,55 dias sem acesso,nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 11 da Fase 4,55 dias sem acesso | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 11 da Fase 4,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 0 de 11 da Fase 4)
Aluno 0168,2026-08-23,0.8058,Alto,Inativo 29–60d,4,57,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11866,58,21,2026-03-24,2026-06-27,57 dias sem acesso,nenhum acesso nos últimos 28 dias,ativo em apenas 0 das últimas 8 semanas,57 dias sem acesso | nenhum acesso nos últimos 28 dias | ativo em apenas 0 das últimas 8 semanas,Contato ativo do tutor em 48h (telefone/WhatsApp) com plano de retomada de 2 semanas
Aluno 0099,2026-08-23,0.8014,Alto,Inativo 29–60d,4,44,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,822,19,27,2026-02-10,2026-07-10,44 dias sem acesso,nenhum acesso nos últimos 28 dias,ativo em apenas 2 das últimas 8 semanas,44 dias sem acesso | nenhum acesso nos últimos 28 dias | ativo em apenas 2 das últimas 8 semanas,Contato ativo do tutor em 48h (telefone/WhatsApp) com plano de retomada de 2 semanas
